DATE,MICH_CHG
2002-07-01,-0.1666666666666666
2002-10-01,-0.1000000000000000
2003-01-01,0.3000000000000000
2003-04-01,-0.6000000000000000
2003-07-01,0.1666666666666666
2003-10-01,0.3000000000000000
2004-01-01,0.1000000000000000
2004-04-01,0.5333333333333334
2004-07-01,-0.4000000000000000
2004-10-01,0.1000000000000000
2005-01-01,0.0333333333333333
2005-04-01,0.2333333333333333
2005-07-01,0.2333333333333334
2005-10-01,0.2000000000000000
2006-01-01,-0.6666666666666667
2006-04-01,0.5333333333333333
2006-07-01,-0.1666666666666666
2006-10-01,-0.3666666666666667
2007-01-01,0.0000000000000000
2007-04-01,0.3333333333333333
2007-07-01,-0.1000000000000000
2007-10-01,0.0666666666666667
2008-01-01,0.4666666666666667
2008-04-01,1.2666666666666666
2008-07-01,-0.3000000000000000
2008-10-01,-1.9000000000000000
2009-01-01,-0.8000000000000000
2009-04-01,0.8666666666666667
2009-07-01,-0.2666666666666667
2009-10-01,0.0666666666666667
2010-01-01,0.0333333333333333
2010-04-01,0.2333333333333334
2010-07-01,-0.4333333333333334
2010-10-01,0.3666666666666667
2011-01-01,0.9000000000000000
2011-04-01,0.3666666666666667
2011-07-01,-0.7666666666666667
2011-10-01,-0.2333333333333333
2012-01-01,0.3333333333333333
2012-04-01,-0.4000000000000000
2012-07-01,0.2000000000000000
2012-10-01,-0.1666666666666667
2013-01-01,0.1333333333333334
2013-04-01,-0.2000000000000000
2013-07-01,0.0666666666666666
2013-10-01,-0.1666666666666666
2014-01-01,0.2000000000000000
2014-04-01,0.0333333333333333
2014-07-01,-0.0333333333333333
2014-10-01,-0.3333333333333334
2015-01-01,-0.0666666666666666
2015-04-01,-0.0666666666666667
2015-07-01,0.1000000000000000
2015-10-01,-0.1333333333333333
2016-01-01,-0.1000000000000000
2016-04-01,0.0333333333333333
2016-07-01,-0.0666666666666667
2016-10-01,-0.2000000000000000
2017-01-01,0.2666666666666667
2017-04-01,-0.0333333333333333
2017-07-01,0.0666666666666666
2017-10-01,-0.1000000000000000
2018-01-01,0.2000000000000000
2018-04-01,0.1000000000000000
2018-07-01,0.0333333333333334
2018-10-01,-0.0666666666666667
2019-01-01,-0.2000000000000000
2019-04-01,0.1000000000000000
2019-07-01,0.0000000000000000
2019-10-01,-0.2666666666666667
2020-01-01,-0.0666666666666666
2020-04-01,0.4000000000000000
2020-07-01,0.1333333333333333
2020-10-01,-0.2666666666666667
2021-01-01,0.5000000000000000
2021-04-01,0.9333333333333334
2021-07-01,0.5666666666666666
2021-10-01,0.2000000000000000
2022-01-01,0.2333333333333334
2022-04-01,0.2666666666666666
2022-07-01,-0.4333333333333333
2022-10-01,-0.1333333333333333
2023-01-01,-0.8666666666666667
2023-04-01,0.1666666666666667
2023-07-01,-0.7000000000000000
2023-10-01,0.5666666666666666
2024-01-01,-1.0000000000000000
2024-04-01,0.2333333333333334
2024-07-01,-0.3666666666666667
2024-10-01,.
